_id,MODEL_CD
67dbab580dc9badbe92b9a4d,BREZZA
67dbab580dc9badbe92b9a49,BREZZA
67dbab580dc9badbe92b9a4c,BREZZA
67dbab580dc9badbe92b9a53,BREZZA
67dbab580dc9badbe92b9a4f,BREZZA
67dbab580dc9badbe92b9a51,BREZZA
67dbab580dc9badbe92b9a54,BREZZA
67dbab580dc9badbe92b9a52,BREZZA
67f75b4f297b3a5cefba9253,S-PRESSO
67f75b4f297b3a5cefba925c,S-PRESSO
67dbab580dc9badbe92b9a56,BREZZA
67f75b4f297b3a5cefba9254,S-PRESSO
67f75b52297b3a5cefba9297,S-PRESSO
67dbab580dc9badbe92b9a57,BREZZA
67f75b4f297b3a5cefba9255,S-PRESSO
67f75b4f297b3a5cefba9261,S-PRESSO
67dbab580dc9badbe92b9a58,BREZZA
67f75b4f297b3a5cefba9257,S-PRESSO
67f75b50297b3a5cefba926e,S-PRESSO
67dbab580dc9badbe92b9a59,BREZZA
67dbab810dc9badbe92b9a5b,ERTIGA
67dbab810dc9badbe92b9a5c,ERTIGA
67dbab810dc9badbe92b9a5d,ERTIGA
67dbab820dc9badbe92b9a5e,ERTIGA
67dbab820dc9badbe92b9a5f,ERTIGA
67dbab820dc9badbe92b9a60,ERTIGA
67dbab820dc9badbe92b9a62,ERTIGA
67dbab820dc9badbe92b9a70,ERTIGA
67dbab820dc9badbe92b9a61,ERTIGA
67dbab820dc9badbe92b9a63,ERTIGA
67dbab820dc9badbe92b9a64,ERTIGA
67dbab820dc9badbe92b9a65,ERTIGA
67dbab820dc9badbe92b9a6e,ERTIGA
67dbab8a0dc9badbe92b9b0a,ERTIGA
67dbab820dc9badbe92b9a66,ERTIGA
67dbab820dc9badbe92b9a67,ERTIGA
67dbab820dc9badbe92b9a6b,ERTIGA
67dbab820dc9badbe92b9a68,ERTIGA
67dbab820dc9badbe92b9a69,ERTIGA
67dbab820dc9badbe92b9a6a,ERTIGA
67dbab820dc9badbe92b9a6c,ERTIGA
67dbab830dc9badbe92b9a78,ERTIGA
67dbab830dc9badbe92b9a7f,ERTIGA
67dbab820dc9badbe92b9a6d,ERTIGA
67dbab820dc9badbe92b9a6f,ERTIGA
67dbab820dc9badbe92b9a71,ERTIGA
67dbab820dc9badbe92b9a72,ERTIGA
67dbab830dc9badbe92b9a73,ERTIGA
67dbab830dc9badbe92b9a74,ERTIGA
67dbab830dc9badbe92b9a75,ERTIGA
67dbab830dc9badbe92b9a83,ERTIGA
67dbab840dc9badbe92b9a8b,ERTIGA
67dbab830dc9badbe92b9a76,ERTIGA
67dbab830dc9badbe92b9a77,ERTIGA
67dbab860dc9badbe92b9ab5,ERTIGA
67dbab830dc9badbe92b9a79,ERTIGA
67dbab830dc9badbe92b9a7a,ERTIGA
67dbab830dc9badbe92b9a7b,ERTIGA
67dbab830dc9badbe92b9a7c,ERTIGA
67dbab830dc9badbe92b9a7d,ERTIGA
67dbab830dc9badbe92b9a80,ERTIGA
67dbab830dc9badbe92b9a7e,ERTIGA
67dbab840dc9badbe92b9a8e,ERTIGA
67dbab840dc9badbe92b9a90,ERTIGA
67dbab830dc9badbe92b9a81,ERTIGA
67dbab830dc9badbe92b9a82,ERTIGA
67dbab840dc9badbe92b9a88,ERTIGA
67dbab830dc9badbe92b9a84,ERTIGA
67dbab840dc9badbe92b9a8c,ERTIGA
67dbab840dc9badbe92b9a98,ERTIGA
67dbab830dc9badbe92b9a85,ERTIGA
67dbab840dc9badbe92b9a87,ERTIGA
67dbab840dc9badbe92b9a91,ERTIGA
67dbab830dc9badbe92b9a86,ERTIGA
67dbab840dc9badbe92b9a89,ERTIGA
67dbab840dc9badbe92b9a8a,ERTIGA
67dbab840dc9badbe92b9a8d,ERTIGA
67dbab840dc9badbe92b9a8f,ERTIGA
67dbab840dc9badbe92b9a92,ERTIGA
67dbab840dc9badbe92b9a93,ERTIGA
67dbab850dc9badbe92b9aa4,ERTIGA
67dbab850dc9badbe92b9ab2,ERTIGA
67dbab840dc9badbe92b9a94,ERTIGA
67dbab840dc9badbe92b9a99,ERTIGA
67dbab840dc9badbe92b9a9a,ERTIGA
67dbab840dc9badbe92b9a95,ERTIGA
67dbab840dc9badbe92b9a97,ERTIGA
67dbab860dc9badbe92b9aba,ERTIGA
67dbab840dc9badbe92b9a96,ERTIGA
67dbab850dc9badbe92b9a9d,ERTIGA
67dbab850dc9badbe92b9a9f,ERTIGA
67dbab840dc9badbe92b9a9b,ERTIGA
67dbab850dc9badbe92b9a9e,ERTIGA
67dbab850dc9badbe92b9aa1,ERTIGA
67dbab850dc9badbe92b9a9c,ERTIGA
67dbab850dc9badbe92b9aa3,ERTIGA
67dbab850dc9badbe92b9ab0,ERTIGA
67dbab850dc9badbe92b9aa0,ERTIGA
67dbab850dc9badbe92b9aa7,ERTIGA
67dbab850dc9badbe92b9aa8,ERTIGA
67dbab850dc9badbe92b9aa2,ERTIGA
67dbab860dc9badbe92b9ac4,ERTIGA
67dbab870dc9badbe92b9acf,ERTIGA
67dbab850dc9badbe92b9aa5,ERTIGA
67dbab850dc9badbe92b9aa6,ERTIGA
67dbab850dc9badbe92b9aa9,ERTIGA
67dbab850dc9badbe92b9aaa,ERTIGA
67dbab850dc9badbe92b9aab,ERTIGA
67dbab850dc9badbe92b9aad,ERTIGA
67dbab850dc9badbe92b9aac,ERTIGA
67dbab850dc9badbe92b9aaf,ERTIGA
67dbab850dc9badbe92b9ab3,ERTIGA
67dbab850dc9badbe92b9aae,ERTIGA
67dbab850dc9badbe92b9ab1,ERTIGA
67dbab860dc9badbe92b9ab9,ERTIGA
67dbab860dc9badbe92b9ab4,ERTIGA
67dbab860dc9badbe92b9ac6,ERTIGA
67dbab870dc9badbe92b9acb,ERTIGA
67dbab860dc9badbe92b9ab6,ERTIGA
67dbab860dc9badbe92b9ab7,ERTIGA
67dbab860dc9badbe92b9ab8,ERTIGA
67dbab860dc9badbe92b9abb,ERTIGA
67dbab860dc9badbe92b9abd,ERTIGA
67dbab860dc9badbe92b9ac1,ERTIGA
67dbab860dc9badbe92b9abc,ERTIGA
67dbab860dc9badbe92b9ac3,ERTIGA
67dbab860dc9badbe92b9ac5,ERTIGA
67dbab860dc9badbe92b9abe,ERTIGA
67dbab870dc9badbe92b9aca,ERTIGA
67dbab870dc9badbe92b9ad0,ERTIGA
67dbab860dc9badbe92b9abf,ERTIGA
67dbab860dc9badbe92b9ac0,ERTIGA
67dbab870dc9badbe92b9ace,ERTIGA
67dbab860dc9badbe92b9ac2,ERTIGA
67dbab880dc9badbe92b9ae4,ERTIGA
67dbab890dc9badbe92b9b05,ERTIGA
67dbab860dc9badbe92b9ac7,ERTIGA
67dbab860dc9badbe92b9ac8,ERTIGA
67dbab880dc9badbe92b9aeb,ERTIGA
67dbab870dc9badbe92b9ac9,ERTIGA
67dbab870dc9badbe92b9acd,ERTIGA
67dbab870dc9badbe92b9ad9,ERTIGA
67dbab870dc9badbe92b9acc,ERTIGA
67dbab880dc9badbe92b9aed,ERTIGA
67dbab880dc9badbe92b9af1,ERTIGA
67dbab870dc9badbe92b9ad1,ERTIGA
67dbab870dc9badbe92b9add,ERTIGA
67dbab880dc9badbe92b9adf,ERTIGA
67dbab870dc9badbe92b9ad2,ERTIGA
67dbab870dc9badbe92b9ad4,ERTIGA
67dbab870dc9badbe92b9ad5,ERTIGA
67dbab870dc9badbe92b9ad3,ERTIGA
67dbab870dc9badbe92b9ad7,ERTIGA
67dbab870dc9badbe92b9ad8,ERTIGA
67dbab870dc9badbe92b9ad6,ERTIGA
67dbab890dc9badbe92b9afd,ERTIGA
67dbab890dc9badbe92b9aff,ERTIGA
